epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,879.938,2.5776,0.68779,0.94859,0.99756,7.56591e-05,7.56591e-05,7.56591e-05
2,1761.09,1.50431,0.78635,0.97092,0.72565,0.000121363,0.000121363,0.000121363
3,2641.96,1.27375,0.81012,0.97736,0.63713,0.000137103,0.000137103,0.000137103
4,3500.43,1.11185,0.83132,0.98067,0.56618,9.2162e-05,9.2162e-05,9.2162e-05
5,4362.54,1.00624,0.84102,0.98218,0.53421,4.7216e-05,4.7216e-05,4.7216e-05
1,3656.38,3.0165,0.63798,0.89826,1.38418,0.00333324,0.00333324,0.00333324
2,7158.58,2.00239,0.67878,0.91806,1.20456,0.0053466,0.0053466,0.0053466
3,10614,1.90158,0.68566,0.92199,1.16656,0.00603995,0.00603995,0.00603995
4,14134.9,1.73586,0.68174,0.92146,1.16461,0.00406,0.00406,0.00406
5,17614.6,1.40181,0.69262,0.92613,1.1173,0.00208,0.00208,0.00208
